,komentar
16,"Ini hari ke 2 sejak vaksin,kepala pusing,sakit,mual,badan pegal2,tangan bekas suntikan jg nyeri,dan jaram.semoga segera membaik."
17,"Saya hari jumat abis vaksin astra zeneca batch 544....yg sempat viral kasus meninggal batch 547...itu di hentikan...pas di suntik tidak merasakqn apa""...pas malam nya sekitar pukul 1 saya demam suhu agak naik sedikit...minum paracetamol mendingan ..badan terasa ngilu seperti abis kerja keras....di malam ke 2 saya sudah tidak demam..hanya masih lemas aja....dan masih terasa ngilu dan lemas sedikit...semoga hari ke 3 saya sudah full sehat nya...."
18,Saya udh vaksin astra tgl 26 agustus 2021  kemaren siank di vaksin ngga ngerasain apa2 mlm y baru kerasa kyak mau demam cuma ngga panas kepala muter2 pas minum paracetamol normal lagi...bsok y di anjurin sama yg sudah vaksin minum kelapa muda alhamdulillah habis mnum kelapa keringat dingin keluar Yg pagi y nyentuh aer dingin bnget habis minum aer kelapa jadi normal lagi...tetangga saya ad yg ngga bisa bngun mungkin faktor imun org juga x...ini saja pengalaman saya semoga ad faedah y...anjuran saya buat yg punya penyakit atau ngerasa bdan y kurang fit mending ngga usah vaksin doloe tunggu sampe bdan bnar2 fit baru di vaksin
19,Sy tdk merasakan apa2 Alhamdulillah.2x vaksin.
20,"Mau nikah aja kudu divaksin..efeknya demam..ga tega liat yg demam sampe sakit kepala,bb nya turun..kalo gak divaksin surat dari puskesmas utk catin gk dikasih .padahal manten tinggal dipelosok..aturan macam apa ini sungguh memepersulit semuanya..jarak setelah divaksin ke suntik utk catin juga harus 1 minggu lebih..udah lah lokasi mantenn jauh..bolak balek cuman ngurussin vaksin mau nikah ribet amattt"
21,"Sy 35th sdh vaksin tgl 1 kmrn. Divaksin pkul 13.00siang, efek menggigil sebentar pukul 23.06 mlm lalu bdan hangat sampe pagi. Pagi hari minum paracetamol sekali trus baik2 aj sampe skrg, alhamdulillah"
0,Dok saya uda di vaksin Aztraveneca untung aman dok cuman 2 hari pegel2 di badan abiz itu normal lagi  tunggu tahap 2 lagi bulan Agustus
1,"Astrazeneca di iktiraf di 100 buah negara di dnia trmasuk arab saudi, mempunyai 95% kbrhsilan utk mlawan varian delta.."
2,"Terimakasih pak dokter, sdh memberikan informasi yang sangat berguna bagi masyarakat"
3,"Mantap dokter penjelasannya sangat membantu ditengah2 berita sana sini yg bikin takut. Saya habis Vaksin AZ tgl 8 sept 2021, efek hanya pegal saja bekas suntikannya, pulangnya saya malah lahap makan dan minum air degan ijo dok, paginya Alhamdulillah tidak ada efek hari ini tgl 9 sept 2021..."
4,"dok harusnya orang yang daya tahan tubuhnya lemah dilarang vaksin agar tak terjadi efek samping yang berlebihan
vaksin aman hanya untuk orang yang daya tahan tubuhnya kuat dari awalnya"
5,"Maaf dok..hanya ingin membagi pengalaman pribadi..
Saya tinggal di Eropa tepatnya Italy..sampai sebulan yang lalu pemerintah sini gencar vaksin dgn objek 80% populasi ter vaksin sebelum musim panas..sampai diadakan vaksin masal..saya pun ikut vaksin masal krn kalau menunggu giliran umur saya harus menunggu kurang lebih 1 bulan lagi..saya vaksin dosis pertama 13 May dgn Astrazeneca"
6,Terima kasih edukasinya Dok! 
7,"Hai Dok, mau nanya kalau pada saat setiap terlalu kelelahan lalu menyebabkan seperti lebam biru dan merah di kaki (betis, paha) lalu bbrp hari kemudian menghilang lagi dengan sendirinya, apakah itu termasuk penggumpalan darah ? Dan apakah dengan kondisi seperti itu boleh di vaksin sinovac ? Mohon pencerahan ya Dok, terima kasih "
8,"3 hari lalu saya vaksin astrazeneca. Efek paling berat yang saya rasakan, di hari berbeda, pegel sekujur badan seharian total sekitar 12 jam saja. Tanpa ada sakit kepala. 3 hari sebelum vaksinasi saya rutin minum vitamin, sesudav vaksin juga. Ketika ingin meriang saya minum jus, dan alhamdulillah langsung biasa lagi. So, prepare sebelum vaksinasi dan sesudahnya itu penting, vaksin apapun itu. Supaya bisa mengurangi efek samping."
9,"Astrazeneca cocok buat bule krn pengujian tesnya relawan bule yg secara fisik daya tahan dan stamina lebih tahan, spt pemain bola. Bandingankan dengan bangsa asia yg secara fisik, stamina dan daya tahannya tdk sma dengan bangsa eropa. Msh cocok vaksin sinovac yg pengujian dan tes relawannya asia, ada kemungkinan dosisnya di sesuaikan."
10,Dok apakah Vaksin Nusantara (Immunotrapi) bisa dijadikan alternatif atas segala macam efek keraguan vaksin konvensional... Lain..?
11,"Pagi Dok. Tolong tanya, untuk meminimalisir efek pembekuan darah, apakah kita bisa minum anti platelet seperti thrombo aspillets atau clopidogrel? Makasih dok."
12,Apapun yg terjadi di dlm dunia jika benar toh akan mndpt upah tapi jika salah tujuannya tdk benar tapi di benarkan. Kelak setiap manusia akan mempertanggungjawabkan perbuatannya.
13,"Kalo untuk efek jangka panjangnya gimana dok? Saya pernah baca sebuah tulisan bahwa untuk pengembangan vaksin diperlukan waktu yang sangat lama, bisa 5 th bahkan puluhan tahun lebih untuk bener2 ngecek efek berkelanjutannya gimana, nah vaksin buat corona ini kan cuma 1 th jadi, gimana tu dok?"
14,Alhamdulillah dok saya vaksin pertama astrazenecca tidak ada efek n gejala apapun dok..cuma laper terus sama ya pegel ditangan yg divaksin saja..mungkin karena imun beda2 ya dok..sehat selalu semuanya 
15,Dokter pinter selalu utamakan keamanan dn teliti tuk epekyh agar tida ada korban  takut malh sakit kasian orang2indonisia  takut diracuni oleh orang luar sayh minum ramuan pait2 sajh trima kasih dok atas perhatiannya semoga sehat selalu amin
16,"Penjelasan krg baik.. Krg tegas & lugas..
Hrsx bs bandingkan dgn jelas bahayanya Covid..
Itu akan lbh baik & membantu.. Kl ga sm kyk Pemerintah, semakin jelasin, rakyat semakin takut.."
17,Saya baru 2 hari vaksin astra dan tidak mengalamai gejala apapun.. Cuma tangan nyeri banget. Padahal Saya baru 2 minggu sembuh dari sakit gejala COVID.. Puji Tuhan
18,"Isu biasa persaingan bisnis  jadi saling menjatuhkan produk
Intinya saya ga percaya  pemerintah ga mungkin mau mencelakakan rakyatnya"
19,Perkongsian yg bermanafaat..terima kasih
20,"Dok, apakah ada hubungan antara HB tinggi dgn vaksin AZ ini? Soalnya terakhir Des 2018 sy diukur HB ny agak tinggi (sekitar 17), jd ga bs donor darah. Dan sy ada asma jg (tp so far aman selama tidak ada pencetus nya). Makasih Dokter."
21,Hallo dok. Sy busui selama hamil ada riwayat pengentalan darah d-dimer sampe 6rb sampe akhirnya turun 3rb. Jd harus gimana dok? Dan busui apakah memang boleh buat vaksin?
22,"Dok, klw pengidap myelitis transverse boleh ga di vaksin? Trima kasih sblm n ssdhnya, Dok "
23,"Terima kasih infonya  Dok
Hari ini  4 Juli saya baru saja dapat vaksin kedua dari AZ
dengan jarak 11 minggu dari yg pertama 
Alhamdulillah  dan Insha Allah gak ada keluhan apa2 "
24,"Sudah genap 8 hari pasca vaksin AZ, alhamdulillah ngga ada gejala apa2, cuma pegal dilengan yg disuntik aja. Saya punya riwayat TBC 11 tahun lalu, infeksi paru 3 tahun lalu."
25,apakah astrazeneca aman untuk orang pengidap epilepsi dok?
26,"Halo Dokter ...
Saya vaksin dosis pertama Pfizer terus vaksin kedua nya astrazeneca tapi jarak vaksinasi 1 Dan 2 cukup lama sekitar 3 bln ..... untuk efek dari vaksin astrazeneca saya mengalami kurang Nafsumakan... itu gimana yah? "
27,"Dok saya sudah seminggu di vaksin astrazaneca, hari pertama vaksin kepala agak sedikit pusing cuma ga lama, hari ke-2 aman, hari ke-3 sore hari punggung belakang kerasa sakit dan ngilu, dan setiap bangun tidur selalu susah untuk bangun dan terasa remuk seluruh badan dan butuh waktu beberapa menit untuk bangun, apakah ini efeck dari vaksin nya dok? "
28,Terima kasih Dokter informasinya.
29,"Mantap nih dokter, pernyataannya sangat netral "
30,"Selamat siang dok, mohon maaf mengganggu waktunya  saya mau nnya dok, sy sudah vaksin booster astrazeneca tgl 26 kemarin . Pas tgl 1 bln ini sy ad menstruasi saat malam . Setelah itu sampai sekarang ngga keluar lagi menstruasi nya . Apa yg harus saya lakukan dok ? Apakah sy mengalami penggumpalan darah atau bagaimana dok "
31,"Mantap dokter jujur , God bless you"
32,"dok,  apa  bahayanya  jika  pemberian vacin  dosis  1  dan  yang  ke  dua   tidak  sama  vacinnya"
33,"Saya udah dpt dosis 2 AZ hari Kamis, tapi sampai hari ini sya masih merasakan mual, tidak enak badan, itu kenapa yah dok? 

Terimakasih "
34,Terimakasih dok 
35,Maaf dok mau tanya. Saya tgl 4 habis vaksin Astrazeneca. keesokkannya muncul bintik merah. Semakin hari jadi ruam merah gitu dan merata seluruh badan. Itu gimana ya dok? Terimakasih
36,kalau tetap ada efek samping sama ja itu juga bahaya ..tubuh kita belum tentu sama daya tahan tubuh setiap manusia
37,"Semua komen dan pertanyaan netizen dijawab loh sm dokter.
Top nih dokter .
Aku langsung subcribe deh .
Semoga sehat terus ya dok "
38,"Semua bilang vaksin A baik, vaksin B baik; tapi tidak ada yang bilang vaksin mana yang paling tepat. Gimana ya kira2 dok?"
39,"Dok, mau tanya
Kalau ada orang yang sdh mendapatkan vaksin dos 1 terus rekap jantung, hasilnya mempunyai jantung lemah, jaraknya sudah 3 bulan, apa orang tersebut boleh mendapatkan vaksin astrazeneca yang kedua ?"
